Co_ID,Exchange,Name,"Root
Ticker"," QMV(C$)
31-August-2019 "," O/S Shares
31-August-2019 ",Sector,"Sub
Sector",Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","Interlisted
Code_II",Listed on OTC,"TSX 
Venture 
Grad","Former
CPC",Index,USA_City,USA_State,Asia Region,Israel Related,"Place of Incorporation
C=Canada
U=USA
F=Foreign",SP Grouping,SP_Sub," Volume YTD
31-August-2019 "," Value (C$) YTD
31-August-2019 "," Number of 
Trades YTD
31-August-2019 "," Number of
Months of 
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
AVA0002,TSX,Avalon Advanced Materials Inc.,AVL," 13,828,925 "," 307,309,443 ", Mining ,,TSXV Grad,20080228,ON,Canada,,,OTCQX,1,,,,,,,C,,," 130,136,294 "," 11,611,524 "," 21,926 ", 8 ,,,"NS,ON",,,,,,,,,,,,,,,,,1,,1,,,,,1,"Niobium,Tantalum,Tin"
AUR0015,TSX,Avesoro Resources Inc.,ASO," 115,836,869 "," 81,575,260 ", Mining ,,Other,20110413,UK,UK/Europe,AIM,,,,,,,,,,C,,," 619,586 "," 757,750 ", 669 , 8 ,"Cameroon,Liberia",,,,,,,,,1,,,,,,,,,,,,,,,,,,
AVI0002,TSX,Avino Silver & Gold Mines Ltd.,ASM," 66,903,874 "," 76,027,129 ", Mining ,,TSXV Grad,20180108,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 9,802,978 "," 7,646,087 "," 9,177 ", 8 ,,,Canada,,Mexico,,,,,1,1,1,,,,,,,1,,,,,,,,,
POW0009,TSX,Azarga Uranium Corp.,AZZ," 39,765,622 "," 184,956,380 ", Mining ,,TSXV Grad,20071101,USA,USA,,,,1,,,Centennial,CO,,,C,,," 20,439,577 "," 4,551,603 "," 4,893 ", 8 ,,,,,,Kyrgyzstan,,"CO,SD,WY",,,,,,,,,,,,,,,1,,,,,
BTW0001,TSX,B2Gold Corp.,BTO," 4,844,720,536 "," 1,013,539,861 ", Mining ,,TSXV Grad,20081023,BC,Canada,NYSE MKT,,,1,,1,,,,,C,,," 574,170,762 "," 2,335,155,160 "," 557,765 ", 8 ,"Burkina Faso,Mali,Namibia",,,Philippines,"Colombia,Nicaragua",,Finland,,,1,,,,,,,,,,,,,,,,,,
BAL0008,TSX,Balmoral Resources Ltd.,BAR," 33,220,398 "," 151,001,811 ", Mining ,,TSXV Grad,20130816,BC,Canada,,,OTCQX,1,,,,,,,C,,," 25,341,901 "," 4,153,543 "," 5,222 ", 8 ,,,"ON, Quebec",,,,,,,1,,1,,,,,,,1,,,,,,,1,,
BAR0007,TSX,Barrick Gold Corporation,ABX," 45,236,386,451 "," 1,752,668,983 ", Mining ,,,19830502,ON,Canada,NYSE,Lima (BVL),,,,60,,,,,C,,," 865,233,370 "," 16,394,613,900 "," 2,016,659 ", 8 ,Zambia,Papua New Guinea,ON,,"Argentina,Chile, Dominican Republic,Peru",Saudi Arabia,,"AK,MT,NV",,1,1,1,,,,,,,,,,,,,,,,
BEL0018,TSX,Belo Sun Mining Corp.,BSX," 216,889,638 "," 442,631,915 ", Mining ,,TSXV Grad,20120216,ON,Canada,,,,1,,,,,,,C,,," 92,709,027 "," 36,528,913 "," 18,974 ", 8 ,,,,,Brazil,,,,,1,,,,,,,,,,,,,,,,,,
BLA0018,TSX,Black Iron Inc.,BKI," 14,903,433 "," 186,292,909 ", Mining ,,IPO,20110328,ON,Canada,,,,,,,,,,,C,,," 106,149,649 "," 9,479,602 "," 6,691 ", 8 ,,,,,,,Ukraine,,,,,,,,,,1,,,,,,,,,,,
CAL0006,TSX,Caledonia Mining Corporation Plc,CAL," 100,511,602 "," 10,749,904 ", Mining ,,,19870623,ON,Canada,NYSE MKT,AIM,,,,,,,,,F,,," 472,513 "," 3,656,440 "," 2,089 ", 8 ,"South Africa,Zambia,Zimbabwe",,"BC,NU",,,,,,,1,,,,1,,,,,,,,,,,,,,
CAM0009,TSX,Cameco Corporation,CCO," 4,622,917,510 "," 395,797,732 ", Mining ,,,19910704,SK,Canada,NYSE,,,,,60,,,,,C,,," 152,035,282 "," 2,213,967,740 "," 655,423 ", 8 ,,Australia,SK,,,Kazakhstan,,"NE,WY",,,,,,,,,,,,,,,1,,,,,
CAN0049,TSX,Canarc Resource Corp.,CCM," 16,945,950 "," 242,085,000 ", Mining ,,,19941103,BC,Canada,,,OTCQB,,,,,,,,C,,," 13,841,389 "," 850,227 "," 1,028 ", 8 ,,,"BC,NU",,,,,NV,,1,,,,,,,,,,,,,,,,,,
CAN0110,TSX,Candente Copper Corp.,DNT," 9,750,263 "," 195,005,268 ", Mining ,,TSXV Grad,20041118,BC,Canada,Lima (BVL),,,1,,,,,,,C,,," 11,358,990 "," 559,489 ", 672 , 8 ,,,,,Peru,,,,,1,1,1,,,,,,,,,,,,,,,,
CAP0012,TSX,Capstone Mining Corp.,CS," 197,800,894 "," 399,597,765 ", Mining ,,TSXV Grad,20040728,BC,Canada,,,,1,,,,,,,C,,," 55,256,796 "," 34,484,625 "," 14,993 ", 8 ,,,"BC,YT",,"Chile,Mexico",,,AZ,,1,1,1,,,,,1,1,1,,,,,,,1,,
CAR0032,TSX,Cardinal Resources Limited,CDV," 168,309,851 "," 382,522,388 ", Mining ,,Other,20170710,Australia,Australia/NZ/PNG,ASX,,,,,,,,,,F,,," 11,501,108 "," 4,109,732 "," 1,151 ", 8 ,Ghana,,,,,,,,,1,,,,,,,,,,,,,,,,,,
CEN0017,TSX,Centamin plc,CEE," 2,624,018,722 "," 1,155,955,384 ", Mining ,,Other,20070404,UK,UK/Europe,LSE,,,,,,,,,,F,,," 5,515,700 "," 9,703,257 "," 7,777 ", 8 ,"Burkina Faso,Côte d’Ivoire,Egypt",,,,,,,,,1,,,,,,,,,,,,,,,,,1,
CEN0015,TSX,Centerra Gold Inc.,CG," 3,547,620,249 "," 292,949,649 ", Mining ,,IPO,20040629,ON,Canada,,,,,,1,,,,,C,,," 112,495,139 "," 968,055,296 "," 451,076 ", 8 ,,,"BC,ON",,Mexico,Kyrgyzstan,"Sweden,Turkey",ID,,1,1,1,,,1,,,,1,,,,,,,,,
CEN0021,TSX,Century Global Commodities Corporation,CNT," 15,760,731 "," 98,504,571 ", Mining ,,TSXV Grad,20110919,Hong Kong,Asia,,,,1,1,,,,Hong Kong,,F,,," 396,387 "," 72,203 ", 57 , 8 ,,,"NL,Quebec",,,,,,,,,,,,,,1,,,,,,,,,,,
CHA0027,TSX,Chalice Gold Mines Limited,CXN," 43,850,901 "," 274,068,134 ", Mining ,,Other,20101126,Australia,Australia/NZ/PNG,ASX,,,,,,,,,,F,,," 11,044,610 "," 1,508,383 ", 769 , 8 ,,Australia,Quebec,,,,,,,1,,,1,,,,,,,,,,,,,1,,
CHA0029,TSX,Champion Iron Limited,CIA," 909,282,406 "," 432,991,622 ", Mining ,,Other,20140331,Australia,Australia/NZ/PNG,ASX,,,,,,,,,,F,,," 141,853,352 "," 306,471,767 "," 109,917 ", 8 ,,,"NL, Quebec",,,,,,,,,1,,,,,1,,1,,,,,,,,,
JIN0001,TSX,China Gold International Resources Corp. Ltd.,CGG," 547,050,979 "," 396,413,753 ", Mining ,,TSXV Grad,20061006,China,Asia,HKEx,,,1,,,,,Inner Mongolia,,C,,," 15,049,263 "," 24,526,570 "," 45,165 ", 8 ,,,,"Mongolia,Tibet",,,,,,1,,1,,,,,,,,,,,,,,,,
CLE0012,TSX,Clean TeQ Holdings Limited,CLQ," 238,867,266 "," 746,460,205 ", Mining ,,Other,20171215,Australia,Australia/NZ/PNG,ASX,,OTCQX,,,,,,,,F,,," 6,910,628 "," 2,205,431 "," 1,531 ", 8 ,,Australia,,,,,,,,,,,1,,,,,,,,,,,,,,,"Cobalt, Scandium"
COL0017,TSX,Columbus Gold Corp.,CGT," 25,293,174 "," 168,621,160 ", Mining ,,TSXV Grad,20160126,BC,Canada,,,OTCQX,1,,,,,,,C,,," 12,687,561 "," 2,340,322 "," 3,750 ", 8 ,,,,,French Guiana,,,NV,,1,,,,,,,,,,,,,,,,,,
CON0093,TSX,Condor Gold plc,COG," 49,225,031 "," 94,663,522 ", Mining ,,Other,20180115,UK,UK/Europe,AIM,,OTCQX,,,,,,,,F,,," 476,350 "," 195,050 ", 164 , 8 ,,,,,Nicaragua,,,,,1,,,,,,,,,,,,,,,,,,
CON0089,TSX,Continental Gold Inc.,CNL," 844,932,155 "," 203,108,691 ", Mining ,,TSXV Grad,20100419,ON,Canada,,,OTCQX,1,,,,,,,F,,," 69,994,496 "," 216,957,635 "," 166,159 ", 8 ,,,,,Colombia,,,,,1,,,,,,,,,,,,,,,,,,
COP0011,TSX,Copper Mountain Mining Corporation,CMMC," 126,118,898 "," 188,237,161 ", Mining ,,TSXV Grad,20080919,BC,Canada,ASX,,,1,,,,,,,C,,," 43,295,142 "," 38,409,632 "," 18,743 ", 8 ,,Australia,BC,,,,,,,1,,1,,,,,,,,,,,,,,,,
COR0032,TSX,Coro Mining Corp.,COP," 138,570,731 "," 1,458,639,269 ", Mining ,,IPO,20070709,BC,Canada,,,,,,,,,,,C,,," 45,086,139 "," 4,193,877 "," 2,340 ", 8 ,,,,,Chile,,,,,1,,1,,,,,,,,,,,,,,1,,
COR0033,TSX,Corvus Gold Inc.,KOR," 276,658,599 "," 112,462,845 ", Mining ,,Other,20100830,BC,Canada,,,OTCQX,,,,,,,,C,,," 13,827,022 "," 28,778,626 "," 16,563 ", 8 ,,,,,,,,NV,,1,,,,,,,,,,,,,,,,,,
DEN0006,TSX,Denison Mines Corp.,DML," 360,031,999 "," 590,216,391 ", Mining ,,Other,20040312,ON,Canada,NYSE MKT,,,,,,,,,,C,,," 58,945,945 "," 39,550,583 "," 24,303 ", 8 ,,,SK,,,,,,,,,,,,,,,,,,,,1,,,,,
DET0003,TSX,Detour Gold Corporation,DGC," 4,213,755,895 "," 176,677,396 ", Mining ,,IPO,20070130,ON,Canada,,,,,,1,,,,,C,,," 136,204,702 "," 2,142,402,428 "," 696,493 ", 8 ,,,ON,,,,,,,1,,,,,,,,,,,,,,,,,,
DUN0006,TSX,Dundee Precious Metals Inc.,DPM," 941,013,108 "," 179,240,592 ", Mining ,,,19831101,ON,Canada,,,,,,,,,,,C,,," 59,664,631 "," 261,327,902 "," 208,663 ", 8 ,Namibia,,,,,,"Bulgaria,Serbia",,,1,1,1,,,,,,,1,,,,,,,1,,
DYN0019,TSX,Dynacor Gold Mines Inc.,DNG," 76,558,982 "," 39,060,705 ", Mining ,,Other,20071024,Quebec,Canada,,,,,,,,,,,C,,," 4,484,575 "," 7,898,484 "," 9,579 ", 8 ,,,,,Peru,,,,,1,1,1,,,,,,,,,,,,,,,,
ELG0001,TSX,Eastern Platinum Limited,ELR," 27,791,710 "," 92,639,032 ", Mining ,,TSXV Grad,20050110,BC,Canada,JSE,,,1,1,,,,,,C,,," 1,990,312 "," 482,624 ", 925 , 8 ,South Africa,,,,,,,,,,,,,,,1,,,,,,,,,,,,
EAS0005,TSX,Eastmain Resources Inc.,ER," 42,431,515 "," 242,465,798 ", Mining ,,,19961101,ON,Canada,,,,,,,,,,,C,,," 57,323,774 "," 8,810,352 "," 8,277 ", 8 ,,,Quebec,,,,,,,1,,1,1,,,,,,,,,,,,,,,
ELD0001,TSX,Eldorado Gold Corporation,ELD," 1,943,780,311 "," 158,805,581 ", Mining ,,,19931022,BC,Canada,NYSE,,,,,1,,,,,C,,," 195,332,283 "," 1,410,794,041 "," 640,967 ", 8 ,,,Quebec,,Brazil,,"Greece,Romania,Turkey",,,1,1,,,,,,1,1,1,,,,,,,1,,
END0004,TSX,Endeavour Mining Corporation,EDV," 2,852,550,039 "," 109,924,857 ", Mining ,,TSXV Grad,20031120,Cayman Islands,Other,,,OTCQX,1,,1,,,,,F,,," 40,704,246 "," 895,341,679 "," 251,205 ", 8 ,"Burkina Faso,Côte d'Ivoire,Ghana,Mali",,,,,,,,,1,,,,,,,,,,,,,,,,,,
END0005,TSX,Endeavour Silver Corp.,EDR," 482,541,694 "," 137,476,266 ", Mining ,,TSXV Grad,20060207,BC,Canada,NYSE,,,1,,,,,,,C,,," 53,620,592 "," 165,883,374 "," 145,554 ", 8 ,,,,,"Chile,Mexico",,,,,1,1,1,,,1,,,,,,,,,,,1,,
ENE0020,TSX,Energy Fuels Inc.,EFR," 255,405,309 "," 96,941,202 ", Mining ,,TSXV Grad,20070319,USA,USA,NYSE MKT,,,1,,,Lakewood,CO,,,C,,," 44,143,897 "," 161,469,138 "," 179,702 ", 8 ,,,,,,,,"AZ,CO,NM,UT,WY",,,,,,,,,,,,,,,1,,,,,Vanadium
ENT0005,TSX,Entree Resources Ltd.,ETG," 55,084,506 "," 174,871,449 ", Mining ,,TSXV Grad,20060424,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 15,704,613 "," 6,895,862 "," 4,777 ", 8 ,,Australia,,Mongolia,Peru,,,,,1,,1,,,,,,,,,,,,,,,,Royalty Streaming
ERD0001,TSX,Erdene Resource Development Corporation,ERD," 44,969,047 "," 187,371,029 ", Mining ,,TSXV Grad,20051214,NS,Canada,,,,1,,,,,,,C,,," 17,378,084 "," 3,679,403 "," 2,958 ", 8 ,,,,Mongolia,,,,,,1,,1,,,1,,,,,,,,,,,,,
ERO0001,TSX,Ero Copper Corp.,ERO," 1,722,965,647 "," 85,506,980 ", Mining ,,IPO,20171019,BC,Canada,,,,,,1,,,,,C,,," 41,016,779 "," 712,975,508 "," 181,450 ", 8 ,,,,,Brazil,,,,,1,1,1,,,,,,,,,,,,,,,,Cobalt
EUR0016,TSX,Euro Sun Mining Inc.,ESM," 32,487,518 "," 81,218,794 ", Mining ,,Other,20160912,ON,Canada,,,,,,,,,,,C,,," 52,441,058 "," 26,471,231 "," 16,212 ", 8 ,,,,,,,Romania,,,1,,1,,,,,,,,,,,,,,,,
EUR0015,TSX,Euromax Resources Ltd.,EOX," 11,617,533 "," 331,929,522 ", Mining ,,TSXV Grad,20160711,UK,UK/Europe,,,OTCQB,1,,,,,,,C,,," 2,227,355 "," 177,020 ", 353 , 8 ,,,,,,,Macedonia,,,1,,1,,,,,,,,,,,,,,,,
EXC0010,TSX,Excellon Resources Inc.,EXN," 123,537,204 "," 110,301,075 ", Mining ,,TSXV Grad,20080204,ON,Canada,,,,1,,,,,,,C,,," 22,995,817 "," 22,117,667 "," 21,185 ", 8 ,,,,,Mexico,,,,,,1,,,,,,,1,1,,,,,,,,,
EXC0014,TSX,Excelsior Mining Corp.,MIN," 224,338,482 "," 238,657,960 ", Mining ,,TSXV Grad,20170202,BC,Canada,,,,1,1,,,,,,C,,," 10,848,366 "," 10,143,136 "," 6,842 ", 8 ,,,,,,,,AZ,,,,1,,,,,,,,,,,,,,,,
FIR0059,TSX,First Majestic Silver Corp.,FR," 2,932,536,414 "," 202,523,233 ", Mining ,,TSXV Grad,20080115,BC,Canada,NYSE,,,1,,1,,,,,C,,," 123,550,660 "," 1,255,109,182 "," 476,589 ", 8 ,,,,,Mexico,,,,,,1,,,,,,,,,,,,,,,,1,
FIR0127,TSX,First Mining Gold Corp.,FF," 163,582,129 "," 584,221,888 ", Mining ,,TSXV Grad,20170622,BC,Canada,,,OTCQX,1,1,,,,,,C,,," 151,185,025 "," 41,317,537 "," 39,992 ", 8 ,,,"NL, ON, Quebec",,Mexico,,,NV,,1,1,1,,,,,1,,,,,,,,,,,
FIR0023,TSX,First Quantum Minerals Ltd.,FM," 5,625,458,851 "," 689,394,467 ", Mining ,,TSXV Grad,20000111,BC,Canada,,,,1,,60,,,,,C,,," 489,366,028 "," 6,074,933,595 "," 1,464,622 ", 8 ,"Mauritania,Zambia",Australia,,,"Argentina,Panama,Peru",,"Finland,Spain,Turkey",,,1,,1,1,,,,,,1,,,,,,,,,Cobalt
FIS0001,TSX,Fission Uranium Corp.,FCU," 170,105,125 "," 486,014,642 ", Mining ,,TSXV Grad,20141008,BC,Canada,,,OTCQX,1,,,,,,,C,,," 53,360,333 "," 25,169,197 "," 19,833 ", 8 ,,,SK,,,,,,,,,,,,,,,,,,,,1,,,,1,
FOR0019,TSX,Forsys Metals Corp.,FSY," 34,517,883 "," 156,899,467 ", Mining ,,TSXV Grad,20061017,ON,Canada,,,,1,,,,,,,C,,," 6,645,550 "," 1,298,642 "," 1,979 ", 8 ,Namibia,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,
FOR0023,TSX,Fortuna Silver Mines Inc.,FVI," 881,598,157 "," 160,290,574 ", Mining ,,TSXV Grad,20100118,Peru,Latin America,NYSE,,,1,,,,,,,C,,," 115,679,790 "," 510,313,760 "," 317,327 ", 8 ,,,,,"Argentina, Mexico,Peru",,Serbia,,,1,1,,,,,,,1,1,,,,,,,,,
FOR0013,TSX,Fortune Minerals Limited,FT," 29,520,774 "," 347,303,220 ", Mining ,,,19971031,ON,Canada,,,OTCQX,,,,,,,,C,,," 30,957,106 "," 3,407,543 "," 4,309 ", 8 ,,,"BC,NWT,SK",,,,,,,1,1,1,,,,,,,,,,,,1,,,1,"Bismuth,Cobalt"
FRA0009,TSX,Franco-Nevada Corporation,FNV," 24,349,823,576 "," 187,219,926 ", Mining ,,IPO,20071219,ON,Canada,NYSE,,,,,60,,,,,C,,," 86,726,297 "," 9,131,564,948 "," 651,217 ", 8 ,South Africa,Australia,,,"Mexico, Peru",,,NV,,1,,,,,,1,,,,,,,,,,1,,Royalty Streaming
INT0028,TSX,Freegold Ventures Limited,FVL," 15,116,312 "," 188,953,906 ", Mining ,,,19980519,BC,Canada,,,,,,,,,,,C,,," 11,938,565 "," 769,153 ", 717 , 8 ,,,,,,,,AK,,1,,1,,,,,,,,,,,,,,,,
GEN0030,TSX,General Moly Inc.,GMO," 30,079,719 "," 120,318,877 ", Mining ,,Other,20080214,USA,USA,NYSE MKT,,,,,,Lakewood,CO,,,U,,," 440,954 "," 172,873 ", 690 , 8 ,,,,,,,,NV,,,1,1,,,1,,,,1,,,,,,,,,
V-00155,TSX,Global Atomic Corporation,GLO," 69,875,322 "," 142,602,698 ", Mining ,,TSXV Grad,20190508,ON,Canada,,,,1,,,,,,,C,,," 9,548,856 "," 4,617,708 "," 2,320 ", 4 ,Niger,,,,,,Turkey,,,,,,,,,,,,1,,,,1,,,,,Royalty Streaming
GLO0015,TSX,Globex Mining Enterprises Inc.,GMX," 20,947,023 "," 54,407,852 ", Mining ,,,19951227,Quebec,Canada,,,OTCQX,,,,,,,,C,,," 5,553,732 "," 1,838,204 "," 1,974 ", 8 ,,,"NB,NS,ON,Quebec",,,,Germany,WA,,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,"Graphite,Niobium,Manganese,Royalty Streaming"
GOG0001,TSX,GoGold Resources Inc.,GGD," 137,416,861 "," 185,698,461 ", Mining ,,TSXV Grad,20130122,NS,Canada,,,,1,1,,,,,,C,,," 27,644,967 "," 10,887,756 "," 7,815 ", 8 ,,,,,Mexico,,,,,1,1,,,,,,,,,,,,,,,,,
GOL0069,TSX,Gold Standard Ventures Corp.,GSV," 374,345,396 "," 277,292,886 ", Mining ,,TSXV Grad,20171011,BC,Canada,NYSE MKT,,,1,,,,,,,C,,," 24,148,170 "," 33,621,377 "," 42,466 ", 8 ,,,,,,,,NV,,1,,,,,,,,,,,,,,,,,,
GOL0062,TSX,Golden Minerals Company,AUMN," 38,123,020 "," 105,897,279 ", Mining ,,Other,20090716,USA,USA,NYSE MKT,,,,,,Golden,CO,,,U,,," 2,739,243 "," 981,799 "," 3,355 ", 8 ,,,,,"Argentina,Mexico",,,,,1,1,,,,,,,,,,,,,,,1,,
